filename,graph_keys,view_1,view_2
example1_dimensions.dxf,,"[{""type"": ""LINE"", ""start"": [196.415145, 184.958649], ""end"": [246.415146, 184.958649]}, {""type"": ""LINE"", ""start"": [196.415145, 134.958648], ""end"": [196.415145, 129.958648]}, {""type"": ""LINE"", ""start"": [246.415146, 129.958648], ""end"": [246.415146, 184.958649]}, {""type"": ""LINE"", ""start"": [196.415145, 129.958648], ""end"": [246.415146, 129.958648]}, {""type"": ""LINE"", ""start"": [196.415145, 134.958648], ""end"": [196.415145, 184.958649]}, {""type"": ""ARC"", ""center"": [196.415145, 184.958649], ""radius"": 50.00000074505805, ""start_angle"": 0.0, ""end_angle"": 270.0}, {""type"": ""LINE"", ""start"": [196.415145, 104.958648], ""end"": [196.415145, 129.958648]}, {""type"": ""LINE"", ""start"": [171.415145, 79.958647], ""end"": [196.415145, 104.958648]}, {""type"": ""LINE"", ""start"": [145.16046, 104.958648], ""end"": [171.415145, 79.958647]}, {""type"": ""LINE"", ""start"": [265.255938, 205.574673], ""end"": [265.255938, 210.574673]}, {""type"": ""LINE"", ""start"": [265.255938, 210.574673], ""end"": [270.255938, 210.574673]}, {""type"": ""LINE"", ""start"": [260.255938, 205.437012], ""end"": [260.255938, 205.574673]}, {""type"": ""LINE"", ""start"": [260.255938, 205.074673], ""end"": [270.255938, 205.074673]}, {""type"": ""LINE"", ""start"": [270.255938, 205.574673], ""end"": [270.255938, 205.437012]}, {""type"": ""LINE"", ""start"": [270.255938, 205.437012], ""end"": [270.255938, 205.074673]}, {""type"": ""LINE"", ""start"": [265.255938, 205.574673], ""end"": [270.255938, 205.574673]}, {""type"": ""LINE"", ""start"": [260.255938, 205.574673], ""end"": [265.255938, 205.574673]}, {""type"": ""LINE"", ""start"": [260.505938, 210.574673], ""end"": [265.005938, 210.574673]}, {""type"": ""LINE"", ""start"": [260.255938, 205.574673], ""end"": [260.255938, 215.574673]}, {""type"": ""LINE"", ""start"": [270.255938, 205.574673], ""end"": [270.255938, 215.574673]}, {""type"": ""LINE"", ""start"": [260.255938, 215.574673], ""end"": [270.255938, 215.574673]}, {""type"": ""LINE"", ""start"": [260.255938, 202.574673], ""end"": [260.255938, 205.437012]}, {""type"": ""LINE"", ""start"": [260.255938, 202.574673], ""end"": [360.255938, 202.574673]}, {""type"": ""LINE"", ""start"": [360.255938, 205.437012], ""end"": [360.255938, 202.574673]}, {""type"": ""LINE"", ""start"": [260.255938, 205.074673], ""end"": [360.255938, 205.074673]}, {""type"": ""LINE"", ""start"": [260.255938, 200.074673], ""end"": [360.255938, 200.074673]}, {""type"": ""LINE"", ""start"": [260.255938, 200.074673], ""end"": [260.255938, 202.574673]}, {""type"": ""LINE"", ""start"": [360.255938, 202.574673], ""end"": [360.255938, 200.074673]}, {""type"": ""LINE"", ""start"": [260.255938, 205.437012], ""end"": [360.255938, 205.437012]}]","[{""type"": ""ARC"", ""center"": [-196.415145, 184.958649], ""radius"": 50.00000074505805, ""start_angle"": 180.0, ""end_angle"": 270.0}]"
example3.dxf,,"[{""type"": ""LINE"", ""start"": [0.0, 0.0], ""end"": [0.0, -2.5000000372529034]}, {""type"": ""LINE"", ""start"": [0.0, -2.5000000372529034], ""end"": [-2.5000000372529034, -5.000000074505807]}, {""type"": ""LINE"", ""start"": [-2.5000000372529034, -5.000000074505807], ""end"": [-5.125468549293889, -2.5000000372529034]}, {""type"": ""CIRCLE"", ""center"": [0.0, 5.500000081956387], ""radius"": 5.000000074505807}]","[{""type"": ""CIRCLE"", ""center"": [20.000000298023224, 3.0000000447034836], ""radius"": 5.000000074505806}, {""type"": ""LINE"", ""start"": [15.000000223517418, 10.000000149011612], ""end"": [25.00000037252903, -5.000000074505806]}]"
